mating.regime,block,sex,agrawal.stock.number,DSPR.stock.number,replicate,total.wt,total.flies,scorer.name
vial,1,f,32,11054,2,45,100,NA
vial,1,f,32,11054,3,40,105,NA
vial,1,f,32,11054,4,63,100,NA
vial,1,f,32,11054,5,27,100,NA
vial,1,f,31,11053,1,31,100,NA
vial,1,f,31,11053,2,43,100,NA
vial,1,f,31,11053,3,30,100,NA
vial,1,f,31,11053,4,21,100,NA
vial,1,f,31,11053,5,32,100,NA
vial,1,f,30,11052,1,33,100,NA
vial,1,f,30,11052,2,28,100,NA
vial,1,f,30,11052,3,27,100,NA
vial,1,f,30,11052,4,15,100,NA
vial,1,f,30,11052,5,34,100,NA
vial,1,f,28,11050,1,25,100,NA
vial,1,f,28,11050,2,21,100,NA
vial,1,f,28,11050,3,24,98,NA
vial,1,f,57,11080,1,24,100,NA
vial,1,f,57,11080,2,22,100,NA
vial,1,f,57,11080,3,40,100,NA
vial,1,f,57,11080,4,36,100,NA
vial,1,f,57,11080,5,21,100,NA
vial,1,f,64,11092,1,55,100,NA
vial,1,f,64,11092,2,45,123,NA
vial,1,f,64,11092,3,33,100,NA
vial,1,f,64,11092,4,27,100,NA
vial,1,f,64,11092,5,35,100,NA
vial,1,f,42,11064,1,40,100,NA
vial,1,f,42,11064,2,37,100,NA
vial,1,f,42,11064,3,23,100,NA
vial,1,f,42,11064,4,31,90,NA
vial,1,f,42,11064,5,24,100,NA
vial,1,f,43,11065,1,34,100,NA
vial,1,f,43,11065,2,32,100,NA
vial,1,f,43,11065,3,42,78,NA
vial,1,f,43,11065,4,31,100,NA
vial,1,f,43,11065,5,36,100,NA
vial,1,f,40,11062,1,39,100,NA
vial,1,f,40,11062,2,38,100,NA
vial,1,f,40,11062,3,35,100,NA
vial,1,f,40,11062,4,55,100,NA
vial,1,f,40,11062,5,16,106,NA
vial,1,f,41,11063,1,41,100,NA
vial,1,f,41,11063,2,21,100,NA
vial,1,f,41,11063,3,34,100,NA
vial,1,f,41,11063,4,43,100,NA
vial,1,f,41,11063,5,40,100,NA
vial,1,f,38,11060,1,37,100,NA
vial,1,f,38,11060,2,38,100,NA
vial,1,f,38,11060,3,46,100,NA
vial,1,f,38,11060,4,33,100,NA
vial,1,f,38,11060,5,41,91,NA
vial,1,f,39,11061,1,39,99,NA
vial,1,f,39,11061,2,42,100,NA
vial,1,f,39,11061,3,31,100,NA
vial,1,f,39,11061,4,55,100,NA
vial,1,f,39,11061,5,33,100,NA
vial,1,f,36,11058,1,30,100,NA
vial,1,f,36,11058,2,19,100,NA
vial,1,f,44,11066,1,24,100,NA
vial,1,f,44,11066,2,49,100,NA
vial,1,f,44,11066,3,37,100,NA
vial,1,f,44,11066,4,25,100,NA
vial,1,f,44,11066,5,32,101,NA
vial,1,f,45,11067,1,9,99,NA
vial,1,f,45,11067,2,8,103,NA
vial,1,f,45,11067,3,2,73,NA
vial,1,f,45,11067,4,22,110,NA
vial,1,f,45,11067,5,36,98,NA
vial,1,f,47,11069,1,24,100,NA
vial,1,f,47,11069,2,25,100,NA
vial,1,f,47,11069,3,19,100,NA
vial,1,f,47,11069,4,19,100,NA
vial,1,f,47,11069,5,12,100,NA
vial,1,f,48,11070,1,48,100,NA
vial,1,f,48,11070,2,39,100,NA
vial,1,f,48,11070,3,19,100,NA
vial,1,f,49,11072,1,37,100,NA
vial,1,f,49,11072,2,24,100,NA
vial,1,f,49,11072,3,36,100,NA
vial,1,f,49,11072,4,20,100,NA
vial,1,f,49,11072,5,16,100,NA
vial,1,f,50,11073,1,28,102,NA
vial,1,f,50,11073,2,28,100,NA
vial,1,f,50,11073,3,21,100,NA
vial,1,f,50,11073,4,16,100,NA
vial,1,f,50,11073,5,20,100,NA
vial,1,f,53,11076,1,17,100,NA
vial,1,f,53,11076,2,26,100,NA
vial,1,f,53,11076,3,23,100,NA
vial,1,f,53,11076,4,19,100,NA
vial,1,f,53,11076,5,23,111,NA
vial,1,f,54,11077,1,28,100,NA
vial,1,f,54,11077,2,25,100,NA
vial,1,f,54,11077,3,24,98,NA
vial,1,f,54,11077,4,26,100,NA
vial,1,f,55,11078,1,17,65,NA
vial,1,f,55,11078,2,12,100,NA
vial,1,f,55,11078,3,39,100,NA
vial,1,f,55,11078,4,28,98,NA
vial,1,f,55,11078,5,16,63,NA
vial,2,f,99,11140,1,40,144,amardeep
vial,2,f,99,11140,2,45,161,amardeep
vial,2,f,99,11140,3,36,154,amardeep
vial,2,f,99,11140,4,47,161,amardeep
vial,2,f,99,11140,5,42,155,amardeep
vial,2,f,85,11119,1,45,140,amardeep
vial,2,f,85,11119,2,61,170,amardeep
vial,2,f,85,11119,3,43,120,amardeep
vial,2,f,85,11119,4,33,123,amardeep
vial,2,f,85,11119,5,30,105,amardeep
vial,2,f,97,11136,1,38,164,amardeep
vial,2,f,97,11136,2,42,152,amardeep
vial,2,f,97,11136,3,60,162,amardeep
vial,2,f,97,11136,4,72,186,amardeep
vial,2,f,95,11134,1,47,134,amardeep
vial,2,f,95,11134,2,50,140,amardeep
vial,2,f,95,11134,3,66,194,amardeep
vial,2,f,95,11134,4,74,150,amardeep
vial,2,f,89,11124,1,42,134,amardeep
vial,2,f,89,11124,2,48,161,amardeep
vial,2,f,89,11124,3,29,162,amardeep
vial,2,f,89,11124,4,38,154,amardeep
vial,2,f,87,11122,1,40,128,amardeep
vial,2,f,87,11122,2,53,127,amardeep
vial,2,f,87,11122,3,46,145,amardeep
vial,2,f,87,11122,4,47,152,amardeep
vial,2,f,87,11122,5,47,136,amardeep
vial,2,f,92,11128,1,31,107,amardeep
vial,2,f,92,11128,2,27,121,amardeep
vial,2,f,92,11128,3,42,138,amardeep
vial,2,f,92,11128,4,38,109,amardeep
vial,2,f,92,11128,5,45,133,amardeep
vial,2,f,73,11105,5,33,132,amardeep
vial,2,f,73,11105,4,58,185,amardeep
vial,2,f,73,11105,3,59,164,amardeep
vial,2,f,73,11105,2,41,158,amardeep
vial,2,f,73,11105,1,46,134,amardeep
vial,2,f,71,11100,1,55,183,amardeep
vial,2,f,71,11100,2,36,168,amardeep
vial,2,f,71,11100,3,34,151,amardeep
vial,2,f,71,11100,4,53,164,amardeep
vial,2,f,71,11100,5,46,182,amardeep
vial,2,f,76,11108,1,32,145,amardeep
vial,2,f,76,11108,2,50,164,amardeep
vial,2,f,76,11108,3,36,152,amardeep
vial,2,f,76,11108,4,55,112,elenore
vial,2,f,76,11108,5,17,109,elenore
vial,2,f,80,11112,1,32,112,elenore
vial,2,f,80,11112,2,36,109,elenore
vial,2,f,80,11112,3,26,100,elenore
vial,2,f,80,11112,4,37,103,elenore
vial,2,f,80,11112,5,27,106,elenore
vial,2,f,74,11106,1,20,104,elenore
vial,2,f,74,11106,2,37,107,elenore
vial,2,f,74,11106,3,26,108,elenore
vial,2,f,74,11106,4,35,107,elenore
vial,2,f,74,11106,5,32,100,elenore
vial,2,f,3,11004,1,58,111,nina
vial,2,f,3,11004,2,48,113,nina
vial,2,f,3,11004,3,35,101,nina
vial,2,f,3,11004,4,39,103,nina
vial,2,f,3,11004,5,50,101,nina
vial,2,f,46,11068,1,31,105,nina
vial,2,f,46,11068,2,30,103,nina
vial,2,f,46,11068,3,25,105,nina
vial,2,f,46,11068,4,24,105,nina
vial,2,f,46,11068,5,28,104,nina
vial,2,f,82,11116,1,25,119,nina
vial,2,f,82,11116,2,43,104,nina
vial,2,f,82,11116,3,24,117,nina
vial,2,f,82,11116,4,35,110,nina
vial,2,f,82,11116,5,30,102,nina
vial,2,f,78,11110,1,49,118,nina
vial,2,f,78,11110,2,39,111,nina
vial,2,f,78,11110,3,45,104,nina
vial,2,f,78,11110,4,33,102,nina
vial,2,f,78,11110,5,37,107,nina
vial,2,f,81,11113,1,36,105,nina
vial,2,f,81,11113,2,38,101,nina
vial,2,f,81,11113,3,34,103,nina
vial,2,f,81,11113,4,36,105,nina
vial,2,f,81,11113,5,48,118,nina
vial,2,f,98,11138,1,32,103,elenore
vial,2,f,98,11138,2,29,123,elenore
vial,2,f,98,11138,3,31,102,elenore
vial,2,f,98,11138,4,39,105,elenore
vial,2,f,98,11138,5,41,108,elenore
vial,2,f,100,11141,1,31,111,elenore
vial,2,f,100,11141,2,30,104,elenore
vial,2,f,100,11141,3,37,113,elenore
vial,2,f,100,11141,4,51,113,elenore
vial,2,f,100,11141,5,47,108,elenore
vial,2,f,96,11135,1,42,123,elenore
vial,2,f,96,11135,2,31,125,elenore
vial,2,f,96,11135,3,41,107,elenore
vial,2,f,96,11135,4,19,116,elenore
vial,2,f,96,11135,5,33,106,elenore
vial,2,f,94,11131,1,49,113,elenore
vial,2,f,94,11131,2,30,105,elenore
vial,2,f,94,11131,3,35,107,elenore
vial,2,f,94,11131,4,40,118,elenore
vial,2,f,94,11131,5,46,124,elenore
vial,2,f,90,11125,1,32,120,amardeep
vial,2,f,90,11125,2,42,142,amardeep
vial,2,f,90,11125,3,64,171,amardeep
vial,2,f,90,11125,4,62,152,amardeep
vial,2,f,90,11125,5,57,153,amardeep
vial,2,f,88,11123,1,40,134,amardeep
vial,2,f,88,11123,2,69,163,amardeep
vial,2,f,88,11123,3,60,158,amardeep
vial,2,f,88,11123,4,52,135,amardeep
vial,2,f,88,11123,5,63,151,amardeep
vial,2,f,84,11118,1,58,151,amardeep
vial,2,f,84,11118,2,47,113,amardeep
vial,2,f,84,11118,3,46,126,amardeep
vial,2,f,84,11118,4,54,148,amardeep
vial,2,f,84,11118,5,58,121,amardeep
vial,2,f,86,11120,1,55,141,amardeep
vial,2,f,86,11120,2,47,130,amardeep
vial,2,f,86,11120,3,56,131,amardeep
vial,2,f,86,11120,4,36,136,amardeep
vial,2,f,86,11120,5,43,139,amardeep
vial,2,f,83,11117,1,21,102,nina
vial,2,f,83,11117,2,34,103,nina
vial,2,f,83,11117,3,19,106,nina
vial,2,f,83,11117,4,30,107,nina
vial,2,f,83,11117,5,28,100,nina
vial,2,f,79,11111,1,22,112,nina
vial,2,f,79,11111,2,33,112,nina
vial,2,f,79,11111,3,43,108,nina
vial,2,f,79,11111,4,28,101,nina
vial,2,f,79,11111,5,32,108,nina
vial,2,f,59,11084,1,38,101,nina
vial,2,f,59,11084,2,42,105,nina
vial,2,f,59,11084,3,43,102,nina
vial,2,f,59,11084,4,42,106,nina
vial,2,f,59,11084,5,47,110,nina
vial,2,f,52,11075,1,41,101,nina
vial,2,f,52,11075,2,36,100,nina
vial,2,f,52,11075,3,30,101,nina
vial,2,f,52,11075,4,49,101,nina
vial,2,f,52,11075,5,38,100,nina
vial,2,f,62,11090,1,17,102,nina
vial,2,f,62,11090,2,31,100,nina
vial,2,f,62,11090,3,38,106,nina
vial,2,f,62,11090,4,28,101,nina
vial,2,f,62,11090,5,32,102,nina
vial,2,f,61,11089,1,19,105,nina
vial,2,f,61,11089,2,28,102,nina
vial,2,f,61,11089,3,16,100,nina
vial,2,f,61,11089,4,30,103,nina
vial,2,f,61,11089,5,25,108,nina
vial,2,f,67,11095,1,36,105,nina
vial,2,f,67,11095,2,12,101,nina
vial,2,f,67,11095,3,42,106,nina
vial,2,f,67,11095,4,37,108,nina
vial,2,f,67,11095,5,44,114,nina
vial,2,f,66,11094,1,38,101,nina
vial,2,f,66,11094,2,34,106,nina
vial,2,f,66,11094,3,37,105,nina
vial,2,f,66,11094,4,26,103,nina
vial,2,f,66,11094,5,18,103,nina
vial,2,f,70,11099,1,31,109,nina
vial,2,f,70,11099,2,26,101,nina
vial,2,f,70,11099,3,29,102,nina
vial,2,f,70,11099,4,32,102,nina
vial,2,f,70,11099,5,30,101,nina
vial,2,f,69,11097,1,18,104,nina
vial,2,f,69,11097,2,28,103,nina
vial,2,f,69,11097,3,49,107,nina
vial,2,f,69,11097,4,25,103,nina
vial,2,f,69,11097,5,21,104,nina
vial,3,f,133,11225,3,46,112,nina
vial,3,f,133,11225,4,45,110,nina
vial,3,f,133,11225,5,33,120,nina
vial,3,f,132,11224,1,41,101,nina
vial,3,f,132,11224,2,40,102,nina
vial,3,f,132,11224,3,48,104,nina
vial,3,f,132,11224,4,65,122,nina
vial,3,f,132,11224,5,61,124,nina
vial,3,f,131,11223,1,39,101,nina
vial,3,f,131,11223,2,34,105,nina
vial,3,f,131,11223,3,29,116,nina
vial,3,f,131,11223,4,35,102,nina
vial,3,f,134,11227,1,69,118,nina
vial,3,f,134,11227,2,32,100,nina
vial,3,f,134,11227,3,52,101,nina
vial,3,f,134,11227,4,38,117,nina
vial,3,f,134,11227,5,27,101,nina
vial,3,f,129,11221,1,15,108,nina
vial,3,f,129,11221,2,28,102,nina
vial,3,f,129,11221,3,27,108,nina
vial,3,f,129,11221,4,32,101,nina
vial,3,f,129,11221,5,29,104,nina
vial,3,f,127,11215,1,30,120,amardeep
vial,3,f,127,11215,2,41,124,amardeep
vial,3,f,127,11215,3,49,117,amardeep
vial,3,f,127,11215,4,56,130,amardeep
vial,3,f,130,11222,1,51,107,nina
vial,3,f,130,11222,2,28,105,amardeep
vial,3,f,130,11222,3,51,102,nina
vial,3,f,130,11222,4,52,104,nina
vial,3,f,130,11222,5,36,100,nina
vial,3,f,147,11255,1,42,102,nina
vial,3,f,147,11255,2,19,113,nina
vial,3,f,147,11255,3,53,126,nina
vial,3,f,147,11255,4,54,127,nina
vial,3,f,147,11255,5,64,138,nina
vial,3,f,145,11249,1,56,146,nina
vial,3,f,145,11249,2,20,81,nina
vial,3,f,145,11249,3,29,106,nina
vial,3,f,145,11249,4,45,113,nina
vial,3,f,145,11249,5,60,123,nina
vial,3,f,63,11091,1,41,107,nina
vial,3,f,63,11091,2,36,139,nina
vial,3,f,63,11091,3,41,122,nina
vial,3,f,63,11091,4,34,127,nina
vial,3,f,63,11091,5,39,122,nina
vial,3,f,144,11245,1,33,117,nina
vial,3,f,144,11245,2,22,106,nina
vial,3,f,144,11245,3,29,124,nina
vial,3,f,144,11245,4,40,112,nina
vial,3,f,144,11245,5,49,112,nina
vial,3,f,65,11093,1,45,148,nina
vial,3,f,65,11093,2,39,130,nina
vial,3,f,65,11093,3,64,134,nina
vial,3,f,65,11093,4,59,139,nina
vial,3,f,65,11093,5,52,133,nina
vial,3,f,135,11228,1,47,109,nina
vial,3,f,135,11228,2,34,110,nina
vial,3,f,135,11228,3,23,80,nina
vial,3,f,135,11228,4,54,126,nina
vial,3,f,135,11228,5,42,146,nina
vial,3,f,136,11229,1,29,110,nina
vial,3,f,136,11229,2,38,124,nina
vial,3,f,136,11229,3,19,112,nina
vial,3,f,136,11229,4,42,102,nina
vial,3,f,128,11216,1,33,102,nina
vial,3,f,128,11216,2,13,118,nina
vial,3,f,128,11216,3,45,105,nina
vial,3,f,128,11216,4,50,109,nina
vial,3,f,128,11216,5,38,107,nina
vial,3,f,133,11225,1,48,101,nina
vial,3,f,133,11225,2,26,81,nina
vial,3,f,141,11239,1,31,120,nina
vial,3,f,141,11239,2,43,107,nina
vial,3,f,141,11239,3,43,102,nina
vial,3,f,141,11239,4,27,100,nina
vial,3,f,141,11239,5,41,101,nina
vial,3,f,22,11044,1,27,105,nina
vial,3,f,22,11044,2,25,106,nina
vial,3,f,22,11044,3,43,101,nina
vial,3,f,22,11044,4,47,113,nina
vial,3,f,22,11044,5,36,107,nina
vial,3,f,150,11259,1,45,112,nina
vial,3,f,150,11259,2,25,103,nina
vial,3,f,150,11259,3,43,112,nina
vial,3,f,150,11259,4,32,106,nina
vial,3,f,150,11259,5,37,107,nina
vial,3,f,142,11240,1,32,110,nina
vial,3,f,142,11240,2,58,102,nina
vial,3,f,142,11240,3,41,115,nina
vial,3,f,142,11240,4,41,113,nina
vial,3,f,142,11240,5,33,112,nina
vial,3,f,56,11079,1,46,113,nina
